Country,Concept,LocalTerm,table_index,table_heading
México,"Persona, generalmente joven, que cuida niños a domicilio mientras los padres se ausentan por poco tiempo y es retribuida por ello Niñera","niñera, nana, pilmama",11,Personas y oficios (9)
Puerto Rico,"Persona, generalmente joven, que cuida niños a domicilio mientras los padres se ausentan por poco tiempo y es retribuida por ello Niñera","babysitter, niñera",11,Personas y oficios (9)
España,Persona que tiene por oficio conducir un bus Autobusero,"autobusero, chófer, conductor de autobús",12,Personas y oficios (10)
Guatemala,Persona que tiene por oficio conducir un bus Autobusero,chofer,12,Personas y oficios (10)
México,Persona que tiene por oficio conducir un bus Autobusero,"chofer, conductor, operador (de autobús), microbusero",12,Personas y oficios (10)
Puerto Rico,Persona que tiene por oficio conducir un bus Autobusero,"chofer, conductor de guagua",12,Personas y oficios (10)
España,"Comerciante que vende sus productos sin estar en un lugar físico establecido, haciéndolo con frecuencia por las calles o en eventos Vendedor ambulante",vendedor ambulante,12,Personas y oficios (10)
Guatemala,"Comerciante que vende sus productos sin estar en un lugar físico establecido, haciéndolo con frecuencia por las calles o en eventos Vendedor ambulante",vendedor ambulante,12,Personas y oficios (10)
México,"Comerciante que vende sus productos sin estar en un lugar físico establecido, haciéndolo con frecuencia por las calles o en eventos Vendedor ambulante",vendedor ambulante,12,Personas y oficios (10)
Puerto Rico,"Comerciante que vende sus productos sin estar en un lugar físico establecido, haciéndolo con frecuencia por las calles o en eventos Vendedor ambulante",quincallero,12,Personas y oficios (10)
España,Persona que tiene por oficio vender libros Unnamed: 3_level_1,librero,12,Personas y oficios (10)
Guatemala,Persona que tiene por oficio vender libros Unnamed: 3_level_1,vendedor de libros,12,Personas y oficios (10)
México,Persona que tiene por oficio vender libros Unnamed: 3_level_1,"librero, vendedor de libros",12,Personas y oficios (10)
Puerto Rico,Persona que tiene por oficio vender libros Unnamed: 3_level_1,librero,12,Personas y oficios (10)
