Country,Concept,LocalTerm
Puerto Rico,Expulsar el sudor a través de los poros de la piel,"sudar, transpirar (formal)"
España,Proporcionar calor mediante un mecanismo o sistema de calefacción,calentar
Guatemala,Proporcionar calor mediante un mecanismo o sistema de calefacción,calentar
México,Proporcionar calor mediante un mecanismo o sistema de calefacción,calentar
Puerto Rico,Proporcionar calor mediante un mecanismo o sistema de calefacción,calentar
España,"Poner en funcionamiento cualquier aparato o artefacto que funciona con electricidad, pilas, gases o combustibles","encender, activar"
Guatemala,"Poner en funcionamiento cualquier aparato o artefacto que funciona con electricidad, pilas, gases o combustibles","prender, encender, activar"
México,"Poner en funcionamiento cualquier aparato o artefacto que funciona con electricidad, pilas, gases o combustibles","prender, encender, activar"
Puerto Rico,"Poner en funcionamiento cualquier aparato o artefacto que funciona con electricidad, pilas, gases o combustibles","prender, encender, activar"
España,"Entregar y registrar en las estaciones de tren, aeropuertos, etc., un equipaje o una mercancía para que sea enviada a su lugar de destino",facturar
Guatemala,"Entregar y registrar en las estaciones de tren, aeropuertos, etc., un equipaje o una mercancía para que sea enviada a su lugar de destino",chequear
México,"Entregar y registrar en las estaciones de tren, aeropuertos, etc., un equipaje o una mercancía para que sea enviada a su lugar de destino","facturar, documentar"
Puerto Rico,"Entregar y registrar en las estaciones de tren, aeropuertos, etc., un equipaje o una mercancía para que sea enviada a su lugar de destino","chequear, registrar"
España,Llevar a alguien colgado en la espalda con los brazos alrededor del cuello y las piernas agarradas por los antebrazos,"llevar a caballito, cargar a la espalda/a las espaldas, llevar a coscoletas, llevar a cucurumillo, llevar a cuestas"
Guatemala,Llevar a alguien colgado en la espalda con los brazos alrededor del cuello y las piernas agarradas por los antebrazos,llevar a tuto
México,Llevar a alguien colgado en la espalda con los brazos alrededor del cuello y las piernas agarradas por los antebrazos,"llevar de caballito, canchar, canchar en el tun tun, canchar en la espalda, cargar a papuchi, cargar de a caballito, cargar de caballito, cargar a camachito, cargar de pauchi"
Puerto Rico,Llevar a alguien colgado en la espalda con los brazos alrededor del cuello y las piernas agarradas por los antebrazos,"llevar a caballito, montar a caballito, montar a patacá"
España,Impulsar a una persona que está sentada en un columpio o hamaca,columpiar
Guatemala,Impulsar a una persona que está sentada en un columpio o hamaca,columpiar
México,Impulsar a una persona que está sentada en un columpio o hamaca,"columpiar, mecer, pasear"
Puerto Rico,Impulsar a una persona que está sentada en un columpio o hamaca,"mecer, columpiar, hamaquear"
España,Curiosear o tratar de averiguar cosas acerca de la vida privada de los demás,cotillear
Guatemala,Curiosear o tratar de averiguar cosas acerca de la vida privada de los demás,chismear
México,Curiosear o tratar de averiguar cosas acerca de la vida privada de los demás,chismear
Puerto Rico,Curiosear o tratar de averiguar cosas acerca de la vida privada de los demás,"bochinchear, chismear, novelear"
España,Darse un beso de lengua,"enrollarse, liarse, morrearse, pegarse el lote, darse el lote, comer la boca, dar un beso de tornillo"
Guatemala,Darse un beso de lengua,"darse un beso de lengüita, trincar"
México,Darse un beso de lengua,"darse un beso de lengüita, atascarse (vulgar)"
Puerto Rico,Darse un beso de lengua,apestillarse
España,"Realizar el acto sexual. Expresiones aparte de 'acostarse', 'fornicar', 'hacer el amor' y 'coitar'","echar un polvo, follar, tirar, pijar"
Guatemala,"Realizar el acto sexual. Expresiones aparte de 'acostarse', 'fornicar', 'hacer el amor' y 'coitar'","chimar, pisar"
México,"Realizar el acto sexual. Expresiones aparte de 'acostarse', 'fornicar', 'hacer el amor' y 'coitar'","chingar, clavar, tirar, coger, parchar, cuchiplanchar, echarse un caldo, echarse un palo/palito, matar el oso a puñaladas, ponchar(se) a alguien, ponerle (Juan al niño)"
Puerto Rico,"Realizar el acto sexual. Expresiones aparte de 'acostarse', 'fornicar', 'hacer el amor' y 'coitar'",chichar
