table_index,row_index,column,value
3,20,"('Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público', 'Contador público')","contable, contador"
3,21,"('País', 'Artículo de Wikipedia')",Uruguay
3,21,"('Que se dedica a entregar envíos o mercancías a domicilio', 'Repartidor')","delivery, repartidor"
3,21,"('Persona que no tiene empleo o trabajo o está buscando', 'Unnamed: 2_level_1')","desocupado,​ desempleado"
3,21,"('Maestro que enseña en el nivel preescolar a niños menores de 6 años', 'Unnamed: 3_level_1')","educador de primera infancia, maestro de primera infancia, maestro de jardín"
3,21,"('Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público', 'Contador público')",contador
3,22,"('País', 'Artículo de Wikipedia')",Venezuela
3,22,"('Que se dedica a entregar envíos o mercancías a domicilio', 'Repartidor')","repartidor, mensajero, delivery"
3,22,"('Persona que no tiene empleo o trabajo o está buscando', 'Unnamed: 2_level_1')",desempleado​
3,22,"('Maestro que enseña en el nivel preescolar a niños menores de 6 años', 'Unnamed: 3_level_1')","maestro de preescolar, maestro de kínder, maestro de jardín de infancia, seño(rita) (cuando es mujer)"
3,22,"('Persona que tiene por oficio llevar la contabilidad de una empresa u organismo público', 'Contador público')",contador
4,0,"('País', 'Artículo de Wikipedia')",Argentina
4,0,"('Persona especializada en la instalación y reparación de las conducciones de agua y similares.', 'Fontanero')",plomero​
4,0,"('Representante ante los medios de una empresa, entidad o grupo social.', 'Portavoz')","vocero,​ portavoz​"
4,0,"('Principal mandatario de un municipio del propio país\u200b', 'Alcalde')",intendente​
4,0,"('Principal mandatario de un municipio extranjero de habla no hispana', 'Alcalde')","alcalde,​​ intendente​"
4,1,"('País', 'Artículo de Wikipedia')",Belice
4,1,"('Persona especializada en la instalación y reparación de las conducciones de agua y similares.', 'Fontanero')",plomero
4,1,"('Representante ante los medios de una empresa, entidad o grupo social.', 'Portavoz')",portavoz
4,1,"('Principal mandatario de un municipio del propio país\u200b', 'Alcalde')",alcalde
